Feature,Coefficient
locn_2,-9.788454158600247
Sesn_2,6.27772917041498
ferT_F2150,-1.4814839608418808
ferT_F4250,-0.9750182291672899
tillage_minimum,-0.7586618340345656
ferT_F5300,-0.6776018645401255
ferT_F3200,-0.4244057128320893
